season,club_name,avg(attacking_short_passing),avg(shooting),avg(power_stamina),avg(skill_long_passing),avg(power_strength),avg(defending_standing_tackle),avg(skill_fk_accuracy),avg(skill_dribbling),avg(dribbling),avg(pace),avg(mentality_aggression),avg(movement_reactions),avg(movement_sprint_speed),avg(passing),avg(movement_acceleration),avg(attacking_heading_accuracy),avg(attacking_finishing),avg(defending),avg(attacking_crossing),avg(power_long_shots),avg(mentality_penalties),avg(power_shot_power),avg(physic),avg(skill_ball_control),year,league,club_name_ext,points,place
17,Leicester City,65.24137931034483,57.55172413793103,74.79310344827586,59.793103448275865,71.96551724137932,56.13793103448276,50.89655172413793,65.75862068965517,66.82758620689656,68.51724137931035,67.3103448275862,68.34482758620689,69.03448275862068,60.03448275862069,68.0,63.758620689655174,53.96551724137931,54.86206896551724,55.62068965517241,56.06896551724138,56.51724137931034,66.41379310344827,71.72413793103448,68.3103448275862,17,English Premier League,Leicester City,47.0,9
17,Angers SCO,68.15384615384616,53.88461538461539,64.53846153846153,62.73076923076923,69.26923076923077,54.03846153846154,48.61538461538461,64.0,66.1923076923077,65.3076923076923,63.26923076923077,65.8076923076923,64.23076923076923,62.23076923076923,66.65384615384616,62.15384615384615,52.19230769230769,54.03846153846154,60.5,53.19230769230769,51.84615384615385,59.46153846153846,66.65384615384616,70.07692307692308,17,French Ligue 1,Angers SCO,41.0,14
16,PSV,68.46153846153847,56.65384615384615,69.15384615384616,62.11538461538461,67.92307692307692,54.53846153846154,51.88461538461539,67.26923076923077,68.6923076923077,74.11538461538461,59.0,68.57692307692308,75.07692307692308,63.03846153846154,72.8076923076923,61.46153846153846,52.46153846153846,53.34615384615385,60.84615384615385,57.42307692307692,57.23076923076923,65.6923076923077,66.42307692307692,70.34615384615384,16,Holland Eredivisie,PSV,76.0,3
19,Fiorentina,66.96296296296296,55.666666666666664,66.29629629629629,60.0,65.81481481481481,59.0,46.333333333333336,66.51851851851852,67.07407407407408,64.66666666666667,64.96296296296296,67.33333333333333,63.77777777777778,60.74074074074074,65.70370370370371,61.25925925925926,52.592592592592595,58.51851851851852,58.55555555555556,56.111111111111114,54.111111111111114,63.0,65.77777777777777,68.25925925925925,19,Italian Serie A,Fiorentina,49.0,10
18,Manchester City,75.43333333333334,61.53333333333333,72.2,68.5,67.06666666666666,63.333333333333336,57.1,72.36666666666666,73.76666666666667,73.26666666666667,68.26666666666667,75.43333333333334,72.93333333333334,70.03333333333333,73.66666666666667,62.63333333333333,57.53333333333333,63.06666666666667,66.5,62.6,58.3,71.26666666666667,68.73333333333333,75.5,18,English Premier League,Manchester City,98.0,1
18,Angers SCO,69.03846153846153,56.11538461538461,66.15384615384616,63.0,66.92307692307692,54.57692307692308,50.46153846153846,66.5,67.96153846153847,67.23076923076923,60.61538461538461,66.26923076923077,67.46153846153847,63.53846153846154,67.1923076923077,62.5,54.76923076923077,53.65384615384615,62.46153846153846,55.11538461538461,51.73076923076923,61.61538461538461,65.57692307692308,70.23076923076923,18,French Ligue 1,Angers SCO,46.0,13
20,FC Twente,63.7,50.35,60.9,57.75,64.25,51.3,46.3,61.9,62.95,69.8,58.8,61.1,70.15,57.55,69.35,58.4,47.8,51.6,53.45,49.0,50.6,58.7,62.3,63.85,20,Holland Eredivisie,FC Twente,41.0,10
15,AS Monaco,69.5925925925926,56.81481481481482,67.4074074074074,62.370370370370374,66.29629629629629,59.370370370370374,48.7037037037037,69.62962962962963,69.77777777777777,70.48148148148148,67.03703703703704,69.92592592592592,71.11111111111111,63.851851851851855,69.5925925925926,62.629629629629626,53.55555555555556,57.96296296296296,61.55555555555556,56.55555555555556,55.148148148148145,64.66666666666667,66.77777777777777,71.55555555555556,15,French Ligue 1,AS Monaco,65.0,3
18,Parma,65.39285714285714,57.5,71.60714285714286,58.035714285714285,65.67857142857143,52.285714285714285,48.642857142857146,64.53571428571429,66.32142857142857,72.0,59.785714285714285,64.10714285714286,72.57142857142857,60.25,71.07142857142857,56.607142857142854,55.07142857142857,52.57142857142857,60.714285714285715,58.142857142857146,52.5,63.92857142857143,65.89285714285714,67.92857142857143,18,Italian Serie A,Parma,41.0,14
20,Udinese,67.75,56.035714285714285,66.03571428571429,59.0,70.28571428571429,55.464285714285715,48.92857142857143,64.42857142857143,65.71428571428571,65.39285714285714,65.32142857142857,67.82142857142857,65.78571428571429,60.82142857142857,64.75,62.75,53.0,56.107142857142854,55.857142857142854,55.607142857142854,53.464285714285715,65.0,67.92857142857143,68.92857142857143,20,Italian Serie A,Udinese,40.0,14
20,AS Saint-Étienne,66.89655172413794,54.44827586206897,64.48275862068965,60.55172413793103,64.27586206896552,53.758620689655174,49.0,65.82758620689656,66.17241379310344,69.62068965517241,59.58620689655172,62.96551724137931,69.58620689655173,61.41379310344828,69.79310344827586,58.793103448275865,51.10344827586207,53.41379310344828,59.48275862068966,52.310344827586206,55.89655172413793,63.06896551724138,63.241379310344826,67.0,20,French Ligue 1,AS Saint-Étienne,46.0,11
19,1. FC Union Berlin,64.96666666666667,56.06666666666667,67.63333333333334,57.333333333333336,69.26666666666667,54.06666666666667,46.53333333333333,61.86666666666667,63.666666666666664,65.46666666666667,62.93333333333333,65.03333333333333,66.06666666666666,58.7,64.66666666666667,59.9,54.6,53.13333333333333,55.03333333333333,54.06666666666667,51.733333333333334,63.333333333333336,67.56666666666666,65.43333333333334,19,German 1. Bundesliga,1. FC Union Berlin,41.0,11
16,Sparta Rotterdam,60.592592592592595,48.48148148148148,66.51851851851852,52.77777777777778,68.5925925925926,48.111111111111114,42.851851851851855,56.370370370370374,59.55555555555556,65.81481481481481,56.81481481481482,58.2962962962963,65.14814814814815,54.22222222222222,66.51851851851852,53.74074074074074,45.370370370370374,47.22222222222222,50.74074074074074,47.96296296296296,51.25925925925926,55.925925925925924,65.77777777777777,63.03703703703704,16,Holland Eredivisie,Sparta Rotterdam,34.0,15
15,FC Bayern München,77.88,63.32,70.6,71.4,64.2,59.12,60.6,74.92,76.24,73.0,63.12,78.08,72.6,72.64,73.56,63.52,59.64,58.16,68.48,63.88,63.96,69.92,65.8,78.88,15,German 1. Bundesliga,FC Bayern München,88.0,1
14,SC Cambuur,61.130434782608695,50.82608695652174,63.34782608695652,57.52173913043478,66.82608695652173,47.608695652173914,46.17391304347826,62.69565217391305,62.56521739130435,64.78260869565217,54.21739130434783,58.69565217391305,64.91304347826087,55.73913043478261,64.43478260869566,54.65217391304348,48.30434782608695,46.82608695652174,52.17391304347826,50.130434782608695,51.130434782608695,58.26086956521739,63.21739130434783,62.47826086956522,14,Holland Eredivisie,SC Cambuur,41.0,12
19,ADO Den Haag,62.27272727272727,53.27272727272727,59.5,55.59090909090909,64.72727272727273,51.63636363636363,47.72727272727273,61.31818181818182,62.31818181818182,63.13636363636363,60.18181818181818,60.54545454545455,62.13636363636363,57.18181818181818,64.45454545454545,57.36363636363637,50.40909090909091,51.04545454545455,54.72727272727273,52.0,52.68181818181818,61.54545454545455,62.5,63.63636363636363,19,Holland Eredivisie,ADO Den Haag,19.0,17
16,Excelsior,61.68181818181818,53.45454545454545,66.95454545454545,56.68181818181818,66.27272727272727,49.09090909090909,52.86363636363637,62.81818181818182,64.04545454545455,66.81818181818181,60.77272727272727,60.63636363636363,66.0,57.63636363636363,67.72727272727273,55.27272727272727,49.13636363636363,48.54545454545455,55.27272727272727,53.63636363636363,52.5,63.68181818181818,65.5909090909091,65.18181818181819,16,Holland Eredivisie,Excelsior,37.0,12
14,Parma,65.0,52.93103448275862,67.58620689655173,58.206896551724135,68.34482758620689,53.689655172413794,50.55172413793103,61.206896551724135,64.06896551724138,68.0,60.93103448275862,67.58620689655173,68.41379310344827,60.0,67.41379310344827,61.06896551724138,46.758620689655174,53.13793103448276,59.827586206896555,55.41379310344828,54.793103448275865,63.689655172413794,66.44827586206897,67.82758620689656,14,Italian Serie A,Parma,19.0,20
18,CD Leganés,68.58620689655173,57.827586206896555,67.13793103448276,62.48275862068966,67.51724137931035,56.10344827586207,49.310344827586206,64.41379310344827,65.89655172413794,64.03448275862068,62.689655172413794,66.55172413793103,63.689655172413794,61.51724137931034,64.27586206896552,61.6551724137931,54.86206896551724,54.206896551724135,55.724137931034484,58.3448275862069,55.62068965517241,66.20689655172414,66.37931034482759,69.37931034482759,18,Spain Primera Division,CD Leganés,45.0,13
16,Sampdoria,70.76,58.92,68.92,65.68,68.28,56.76,57.16,69.08,70.56,69.68,61.68,69.32,69.44,66.28,70.0,59.08,53.72,54.6,64.84,60.68,58.64,68.08,66.88,73.36,16,Italian Serie A,Sampdoria,48.0,10
